,words,counts
340,"Shillong,",1
341,"Shimla,",1
342,Sissu,1
133,#trainTag,1
130,#thrillophilia,1
345,Spiti,1
346,"Spiti,",1
347,"Srinagar,",1
132,#throwbackCan,1
131,#throwback,1
350,Temple,1
372,YouTube,1
374,You’ll,1
408,below,1
400,bath,1
109,#othallofframe,1
395,at,1
107,#onehimachal,1
397,back,1
398,balance,1
399,bang!!,1
106,#ohmyrajasthan,1
392,around,1
105,#nature,1
403,beautiful!,1
404,been,1
405,been?,1
406,before,1
407,bellow,1
393,arrived,1
110,#pahadilife,1
120,#roadtrip,1
115,#rajasthaniculturelover,1
119,#ride,1
118,#reels🧡Nice,1
117,#rangeelorajasthan,1
379,all,1
380,already,1
116,#rajasthantheheaven,1
383,amidst,1
390,anyone?,1
114,#portraitphotography,1
385,anawer,1
113,#portrait,1
1,#,1
388,answer,1
111,#peacefulhimachal,1
773,🥰🇮🇹,1
